FLAG,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,min value received,max value received,avg val received,min val sent,max val sent,avg val sent,total transactions,total bitcoin sent,total bitcoin received,total bitcoin balance
0,1969.46,288.59,97419.95,48,10,0.09,99.99,25.810391,0,100,6.758479,58,324.407,258.1039104,-66.3030896
0,76.32,74.96,754216.92,3424,6576,3.80E-05,12867.39971,21.959042,0,9000,43.26697,10002,148146.1047,144402.6609,-3743.443847
0,26.01,82.8,652.87,6,6,0.77,1.3,1.047658,0.769559,1.299528,1.047197,12,6.283183805,6.28594603,0.002762225
0,8174.66,3.43,24534.25,3,3,0.001,0.34,0.147,0.01,0.379654,0.146551,6,0.439653612,0.441,0.001346388
0,628.48,672.28,4486.98,5,2,0.740937,6.12616,3.433549,0,5,1.372346,7,6.86172829,6.86709731,0.00536902
0,0,0,2.5,1,1,0.854871,0.854871,0.854871,0.853821,0.853821,0.853821,2,0.85382138,0.85487138,0.00105
0,0,0,8873.97,1,1,0.134989,0.134989,0.134989,0.134569,0.134569,0.134569,2,0.13456893,0.13498893,0.00042
0,22.94,14237.49,242427.3,17,17,0.017319,0.125315,0.050856,0.002319,0.121958,0.047446,34,0.80657981,0.86455069,0.05797088
0,7750.02,59605.36,531093.05,7,8,0.545459,27.48646,6.144594,0,5.693,1.013286,15,7.093,49.1567487,42.0637487
0,621.07,5012.75,93911.63,14,17,0.5,379,39.759632,0,330.62347,48.273105,35,675.82347,675.9137486,0.090278633
0,13243.1,38530.77,414518.23,9,8,0,1.169147,0.270796,0,1.716638,0.421015,17,3.789138127,2.16637118,-1.622766947
0,5815.7,845.41,1040169.4,30,1024,0.20001,2.157888,0.24501,5.050851,13.321637,6.696126,1054,200.883777,250.8904564,50.00667943
0,1905.13,728.9,240610.1,124,6,0.5,69.995,12.769696,0,74,0.647486,130,80.28824888,76.61817535,-3.670073533
0,24.63,3319.39,10032.05,3,3,0.04,10.805,5.281667,0.038953,10.80458,5.281031,6,15.84309204,15.845,0.001907957
0,59.56,24076.63,120621.38,4,5,0.001,0.669937,0.173506,0.00074,0.668866,0.21567,9,0.86268094,0.86753194,0.004851
0,0,0,28803.42,1,1,12,12,12,11.999559,11.999559,11.999559,2,11.999559,12,0.000441
0,56814.86,62086.18,294616.95,3,2,0,20,10,4.952493,19.953375,13.301956,5,39.90586873,20,-19.90586873
0,2.23,0,8.92,4,2,103.561873,1897.438127,1000.5,0.001078,1501.447643,500.249528,6,2000.998113,2001,0.001886545
0,52.48,287.13,9299.17,24,28,1.761724,2.160983,2.036327,1.761261,6.328314,2.375185,52,57.00443406,57.01714267,0.012708609
0,1466.39,44699.56,321695.25,6,7,0,23.601366,10.936062,0,49.999365,15.753561,13,94.52136494,76.5524362,-17.96892874
0,25905.07,1129.25,161076.67,6,5,0.099,27.517666,13.701916,0.002079,27.516406,11.41756,11,68.50535928,68.50958028,0.004221
0,3834.85,2945.2,620113.1,121,53,0,44.425356,7.878402,0,52,3.571783,174,432.1857424,417.5553096,-14.6304328
0,3880.52,1645.59,101238.1,21,12,0.99,8.995,4.114642,0,8,2.350007,33,49.35013842,49.37569865,0.025560232
0,21466.84,20051.27,674198.88,23,9,0,20.095,6.755565,0,19,4.835781,32,111.2229715,60.80008333,-50.42288815
0,1904.23,4621.92,72065,16,9,0.01,10,1.947683,0,7,1.118571,25,17.89714367,17.52914441,-0.367999256
0,248.61,17068.13,611682.27,1156,19,0,600.98832,72.622476,0,500,1.206055,1175,1394.199349,1379.827042,-14.37230628
0,10154.24,5026.86,1009090.55,87,25,0,40.136798,10.501527,0,48,3.933071,112,342.1772031,262.5381628,-79.63904036
0,674.61,221,11677.73,16,4,0.01,250.5,63.3775,0,250,15.825,20,253.2,253.51,0.31
0,3517.86,7188.55,381840.42,49,30,0,790.999437,110.350012,0,1060,100.90074,79,4944.136269,3310.500353,-1633.635915
0,20.41,0,102.07,5,1,101,101,101,0.2,69.154642,20.199496,6,100.99748,101,0.00252
0,0,8831.65,291444.58,0,33,0,23.462797,1.402192,0,0,0,34,0,46.27232361,46.27232361
0,244.78,169.09,16284.15,61,8,0.009559,0.405838,0.121569,0,0.3,0.010066,69,0.614,0.97255313,0.35855313
0,0,0,169.87,1,1,0.449477,0.449477,0.449477,0.447277,0.447277,0.447277,2,0.44727692,0.44947692,0.0022
0,0,0,2250.73,1,1,0.86761,0.86761,0.86761,0.86699,0.86699,0.86699,2,0.866990131,0.867610131,0.00062
0,408.32,170321.78,341868.53,3,2,0,0.46,0.23,0.041,0.4,0.280059,5,0.840176274,0.46,-0.380176274
0,5801.32,3041.25,614761.98,85,40,0.060587,200,18.64848,0,100,8.995439,125,764.61232,745.9391851,-18.67313494
0,3.6,0,10.8,3,2,437.787303,1563.212697,1000.5,8.51129,1516.455268,666.999528,5,2000.998585,2001,0.001414909
0,0,0,7.53,1,1,1,1,1,0.996747,0.996747,0.996747,2,0.99674689,1,0.00325311
0,13.67,40512.33,688942,17,17,0.01,69.995,12.28744,0.009515,69.994563,12.28679,34,208.8754299,208.8864824,0.011052491
0,193,0,772.02,4,1,0.39,0.39,0.39,0,0.389496,0.099442,5,0.39776788,0.39,-0.00776788
0,20981.23,121771.36,596107.57,11,3,0.02,20.173085,10.397695,0,20.133179,2.833016,14,31.16317907,31.19308507,0.029906
0,129.61,26178.65,288353.97,3,11,0,249.812075,32.977228,10,359,240.576616,14,721.7298479,362.7495057,-358.9803421
0,0,0,31.28,1,1,0.732876,0.732876,0.732876,0.731616,0.731616,0.731616,2,0.731616,0.732876,0.00126
0,5.88,0.42,18.47,3,2,560.184406,1440.815594,1000.5,0.6064,1478.589443,666.999528,5,2000.998585,2001,0.001414909
0,21.65,0,64.95,3,1,101,101,101,1.093799,72.122019,33.666149,4,100.998446,101,0.001554
0,31239.32,984.92,251884.43,8,2,1,2,1.5,0,2,0.34,10,2.72,3,0.28
0,997.32,84555.41,342210.95,4,4,0,2.995,1.31125,2.2,2.983505,2.591529,8,10.36611622,5.245,-5.121116224
0,9.02,12.37,952.85,59,34,0,49.999528,3.455158,0,44.770872,1.990643,93,117.4479637,117.475363,0.027399237
0,3.62,0,10.87,3,2,437.511331,1563.488669,1000.5,2.000775,1948.785673,666.999528,5,2000.998585,2001,0.001414909
0,15.48,0,46.45,3,1,101,101,101,9.999496,64.618386,33.666149,4,100.998446,101,0.001554
0,63819.21,336.67,511227,8,2,0.006845,1.595,0.800922,1.00E-05,1.5,0.458381,10,3.667049401,1.6018449,-2.065204501
0,161.67,0.04,323.42,2,2,24.612212,76.387788,50.5,2.4845,98.514516,50.499508,4,100.9990158,101,0.000984218
0,5.05,0,20.18,4,2,497.549392,1503.450608,1000.5,1,1423.002272,500.249528,6,2000.998113,2001,0.001886545
0,157.32,0,314.65,2,1,101,101,101,1.041843,99.957172,50.499508,3,100.9990158,101,0.000984218
0,36.98,0,73.97,2,1,30,30,30,10.673034,19.325958,14.999496,3,29.998992,30,0.001008
0,3.21,0.38,10.38,3,2,908.853504,1092.146496,1000.5,0.100592,1366.387436,666.999528,5,2000.998585,2001,0.001414909
0,108.58,0.82,327.37,3,2,46.981604,54.018396,50.5,4,66.74957,33.666165,5,100.9984936,101,0.001506437
0,0,2336.51,228977.53,0,98,0,1.169411,0.9501,0,0,0,99,0,93.10979582,93.10979582
0,26.4,620.61,138977.15,163,217,0.261456,820,314.639235,24.49958,8557.988572,418.874903,380,68276.60921,68276.71402,0.104811001
0,3500.97,14465.72,816620.55,6,55,0.01,1.001431,0.46172,0.27,6,2.128333,61,12.77,25.39458564,12.62458564
0,2809.83,3186.72,376480.78,58,67,0,49.477281,8.303953,0,222.627319,9.990969,125,579.4761972,556.364853,-23.1113442
0,19121.43,11.04,267722.13,14,2,0.8971,6.6012,3.74915,0.002749,1.999359,0.677948,16,9.49126836,7.4983,-1.99296836
0,1396.24,1470.58,1150335.93,213,580,0.009918,1.00563,0.316584,0.0005,6.6,0.860486,793,183.2834952,183.6186244,0.335129226
0,30200.21,109066.9,617468.87,6,4,0.01129,21.32,5.418029,0.001619,20.893115,3.611791,10,21.67074448,21.67211742,0.00137294
0,0,1426.21,226766.85,0,159,0,1.021547,0.91998,0,0,0,160,0,146.2768721,146.2768721
0,0,0,10.93,1,1,2.75,2.75,2.75,2.74938,2.74938,2.74938,2,2.74938,2.75,0.00062
0,24.47,0,73.42,3,2,29.231127,71.768873,50.5,2,75.450249,33.666159,5,100.998477,101,0.001523001
0,1449.95,556.53,520700.2,191,438,0.002178,4.504509,0.696882,0,6.102257,1.597554,629,305.132883,305.2343334,0.101450356
0,5.13,3733.57,127115.7,34,34,0.103256,1.000945,0.385352,0.102815,1.000504,0.384883,68,13.0860197,13.10198159,0.015961896
0,0,27224.25,353915.25,0,13,0.452055,3.80983,1.33857,0,0,0,14,0,17.40140661,17.40140661
0,24.86,0.23,75.03,3,2,39.560242,61.439758,50.5,5.836762,53.027954,33.666163,5,100.998488,101,0.001512
0,20.87,0,62.6,3,1,101,101,101,1.202016,97.337759,33.666149,4,100.998446,101,0.001554
0,6,37680.11,301482.83,7,8,0.11,58.753445,9.842931,0.129412,58.755753,11.24715,15,78.73005157,78.74344479,0.01339322
0,155.16,0,310.32,2,1,101,101,101,0.2,100.799016,50.499508,3,100.9990158,101,0.000984218
0,13.6,0,40.8,3,1,101,101,101,0.05,54.580682,33.666149,4,100.998446,101,0.001554
0,364.17,230.02,376485.87,682,557,0.019415,49.749538,1.220148,0.006532,18.230356,0.995851,1239,679.1706318,679.6224224,0.45179059
0,1.97,1332.65,2669.23,2,2,53.995,538.205,296.1,53.994443,538.204468,296.099456,4,592.198911,592.2,0.001088977
0,8197.19,3055.47,946931.97,98,47,0,153.99,20.405141,0,200,11.861401,145,1162.417253,959.0416393,-203.3756139
0,0,0,13.88,1,1,4.995,4.995,4.995,4.98,4.98,4.98,2,4.98,4.995,0.015
0,1.97,0,5.9,3,2,439.322618,1561.677382,1000.5,1.3716,1891.665334,666.99939,5,2000.998169,2001,0.001830667
0,161.06,0.63,323.38,2,2,11.072192,89.927808,50.5,2.660313,98.338703,50.499508,4,100.9990158,101,0.000984218
0,5.95,123984.24,743941.13,6,6,2.802,8.58,5.843667,2.800476,8.575715,5.84204,12,35.05224153,35.062,0.00975847
0,93612.1,10060.62,992074.2,2,80,0.0003,0.133269,0.098978,0.078168,7.838697,3.958433,82,7.916865339,7.918215339,0.00135
0,5.75,8482.58,152789.92,18,18,0.43,15.5,5.466667,0.429384,15.499387,5.465914,36,98.38644845,98.4,0.013551552
0,5.66,16246.22,178770.6,11,11,0.375549,2.29385,1.018111,0.375314,2.29327,1.017056,22,11.18761414,11.19922425,0.01161011
0,72100,10243.09,1019244.7,13,8,0.1,306,131.189784,0,600,80.696,21,1049.048,1049.518271,0.47027113
0,163.02,0.94,327.92,2,2,32.780812,68.219188,50.5,0.001982,100.997034,50.499508,4,100.9990158,101,0.000984218
0,162.38,0.63,326.03,2,2,48.19835,52.80165,50.5,0.005731,100.993285,50.499508,4,100.9990158,101,0.000984218
0,132551.76,47103.98,936622.48,6,3,0,5,2.744752,0,4.9,2.171335,9,13.02800825,8.23425725,-4.793751
0,0,0,948.73,1,1,1,1,1,0.999559,0.999559,0.999559,2,0.999559,1,0.000441
0,0,19247.54,250218.08,0,13,0,1.000578,0.452745,0,0,0,14,0,5.88569015,5.88569015
0,159.83,0.92,321.5,2,2,14.242353,86.757647,50.5,2,98.999016,50.499508,4,100.9990158,101,0.000984218
0,22.05,21.34,232149.93,8901,7835,0.000572,8770.13158,3647.937469,0.001,8770.13158,3210.983135,16736,28580960.89,28581590.07,629.1782661
0,6736.68,1019.6,182217.27,16,73,0.02,1,0.123734,0.359475,0.975,0.56413,89,9.026072908,9.03258,0.006507092
0,17363.42,3975.35,77404.38,4,2,4.995,8.995,6.995,4.994559,8.9908,7.918247,6,31.672988,13.99,-17.682988
0,0,0,2259.65,1,1,12.123629,12.123629,12.123629,12.123009,12.123009,12.123009,2,12.12300879,12.12362879,0.00062
0,160.19,0.15,320.68,2,2,36.096668,64.903332,50.5,1,99.999016,50.499508,4,100.9990158,101,0.000984218
0,3.54,3346.38,6699.85,2,2,0.201984,1.000291,0.601137,0.201564,0.99987,0.600717,4,1.20143483,1.202274835,0.000840005
0,0,4097.93,192602.83,0,47,0,52.4624,11.885895,0,0,0,48,0,558.6370505,558.6370505
0,152.67,0,305.33,2,1,101,101,101,5,95.998571,50.499286,3,100.9985715,101,0.001428506
0,0,0,20.93,1,1,2.39451,2.39451,2.39451,2.394006,2.394006,2.394006,2,2.39400649,2.39451049,0.000504
0,22.91,0,68.72,3,1,101,101,101,0.11005,50.841333,33.666149,4,100.998446,101,0.001554
0,6.38,2935.83,205942,68,70,0.043146,14.583474,2.018109,0.042726,14.583054,2.077035,138,141.2383911,141.2676352,0.029244115
0,0,0,1.32,1,1,0.70724,0.70724,0.70724,0.7064,0.7064,0.7064,2,0.70640002,0.70724002,0.00084
0,162.63,0.43,326.13,2,2,21.595231,79.404769,50.5,0.22,100.779016,50.499508,4,100.9990158,101,0.000984218
0,71.83,27.81,511631.95,5304,4698,0,7000,81.983698,0.001,35000,214.505344,10002,1137736.345,385159.4122,-752576.9329
0,3.59,0,10.78,3,2,521.161647,1479.838353,1000.5,4.07,1969.741783,666.999528,5,2000.998585,2001,0.001414909
0,26.18,20470.41,81986.35,4,4,1.372664,9.5925,6.236932,1.36962,9.593926,6.23386,8,24.93543903,24.94772779,0.01228876
0,10.53,2020.11,24336.13,9,12,0.995,15.99543,6.710382,1.445791,15.994905,8.946717,21,80.52045411,80.5245836,0.004129493
0,159.52,0,319.03,2,1,101,101,101,0.461097,100.537919,50.499508,3,100.9990158,101,0.000984218
0,2411.88,84822.03,365818.75,11,4,0.013823,1.161912,0.31883,0,0.8,0.112727,15,1.23999768,1.27532199,0.03532431
0,3827.27,1074.42,1921036.52,64,1560,0.200004,28.010089,1.994397,3.327554,278.522983,47.960507,1624,3069.472425,3111.258825,41.78640022
0,22.77,0,68.3,3,1,101,101,101,2.25,83.627637,33.666149,4,100.998446,101,0.001554
0,484.97,13360.06,237790.27,22,17,0.006783,1.243,0.263426,0,1.108783,0.203076,39,4.46766152,4.47824154,0.01058002
0,16472.66,8727.64,915822.2,45,20,0,10,2.005246,0,6,0.911633,65,41.02347174,40.10491576,-0.918555982
0,0,1995.75,319320.53,0,160,0,1.677726,0.670056,0,0,0,161,0,107.2089593,107.2089593
0,1.88,0,5.65,3,2,100.470569,1900.529431,1000.5,0.024528,1488.680936,666.999528,5,2000.998585,2001,0.001414909
0,367.75,5872.92,868228.45,1259,69,0.25,370.892142,40.263488,0,340,4.987012,1329,6278.647585,2778.180693,-3500.466893
0,0,0,14.38,1,1,1.373735,1.373735,1.373735,1.358735,1.358735,1.358735,2,1.358735,1.373735,0.015
0,5487.5,22466.36,705882.98,14,28,0.007318,1.458379,0.653013,0.001,4,0.920945,42,12.89323437,18.28436324,5.391128874
0,2516.11,10216,306025.43,12,27,0.001365,0.529484,0.089581,0.015849,0.54,0.201136,39,2.41363522,2.41867522,0.00504
0,0,44163.43,88326.87,0,2,0,509,254.5,0,0,0,3,0,509,509
0,0,0,253.25,1,1,0.3,0.3,0.3,0.29938,0.29938,0.29938,2,0.29938,0.3,0.00062
0,163.85,0,327.7,2,1,101,101,101,1.389,99.610016,50.499508,3,100.9990158,101,0.000984218
0,0,0,5.95,1,1,1.466441,1.466441,1.466441,1.465969,1.465969,1.465969,2,1.465969144,1.46644078,0.000471636
0,1.56,0,4.68,3,2,98.62372,1902.37628,1000.5,9.999703,1542.499603,666.999528,5,2000.998585,2001,0.001414909
0,0,0,259478.57,1,1,1,1,1,0.999559,0.999559,0.999559,2,0.999559,1,0.000441
0,0,2762.25,209930.78,0,76,0,1.000888,0.240532,0,0,0,77,0,18.28040267,18.28040267
0,0,3801.67,319340.05,0,84,0,5.008505,1.186623,0,0,0,85,0,99.67635547,99.67635547
0,161.61,0.94,325.1,2,2,22.149371,78.850629,50.5,1.99916,98.999856,50.499508,4,100.9990158,101,0.000984218
0,0,11594.2,208695.6,0,18,0,499.999,68.129553,0,0,0,19,0,1226.331962,1226.331962
0,7.4,1945.73,80078.27,41,41,0.100021,0.169153,0.108187,0.099601,0.168733,0.107767,82,4.41843538,4.43565538,0.01722
0,136.47,482175.49,964896.88,4,2,0.122249,30,15.061125,0.000688,29.399438,7.53027,6,30.12107962,30.1222493,0.00116968
0,0,6682.47,547962.18,0,82,0,0.715069,0.219089,0,0,0,83,0,17.96526264,17.96526264
0,0,12143.51,291444.33,0,24,0,1.001,0.785615,0,0,0,25,0,18.85476593,18.85476593
0,8691.1,4980.4,32323.4,2,3,0.393264,5,2.086115,0.392822,5.86464,3.128731,5,6.257462,6.25834463,0.00088263
0,0,2405.98,283905.73,0,118,0,1.125244,0.403462,0,0,0,119,0,47.60848499,47.60848499
0,0,1346.79,192590.77,0,143,0,0.697369,0.111189,0,0,0,144,0,15.89998028,15.89998028
0,18151.95,29228.1,273204.15,7,5,0.3,18,7.284753,0,35,5.20281,12,36.41967252,36.42376702,0.004094496
0,21.68,0,65.03,3,1,101,101,101,1.0001,97.792761,33.666149,4,100.998446,101,0.001554
0,1.35,0.68,5.4,3,2,423.307237,1577.692763,1000.5,0.002535,1902.623515,666.999528,5,2000.998585,2001,0.001414909
0,161.55,0.82,324.73,2,2,47.956947,53.043053,50.5,11,89.998974,50.499487,4,100.9989738,101,0.001026218
0,5.71,5707.63,17134.32,2,3,0.999559,2.999559,1.799266,1.397681,3.997868,2.697775,5,5.39554933,5.39779878,0.00224945
0,0,0,5.8,1,1,10,10,10,9.999528,9.999528,9.999528,2,9.999528364,10,0.000471636
0,0,0,39.47,1,1,0.225559,0.225559,0.225559,0.225055,0.225055,0.225055,2,0.22505522,0.22555922,0.000504
0,4.81,0,19.25,4,2,890.11919,1110.88081,1000.5,0.001078,1574.157578,500.249528,6,2000.998113,2001,0.001886545
0,103.49,0,310.48,3,1,101,101,101,0.008992,94.578007,33.666171,4,100.9985118,101,0.001488218
0,160.58,0,321.17,2,1,101,101,101,12.795467,88.203549,50.499508,3,100.9990158,101,0.000984218
0,3070.03,35556.84,974378.8,51,23,0.005,6,1.277459,0,6.53,0.69957,74,35.67806737,29.38156653,-6.29650084
0,160.38,0.6,321.95,2,2,44.759506,56.240494,50.5,0.41,100.589016,50.499508,4,100.9990158,101,0.000984218
0,231.96,112125.71,1010987.1,8,9,0.001,42.47269,5.425545,0.09508,42.471026,6.102275,17,48.81820087,48.82990775,0.011706884
0,6.29,0,18.87,3,2,718.318717,1282.681283,1000.5,0.116843,1475.452117,666.999528,5,2000.998585,2001,0.001414909
0,0,824.57,226756.63,0,275,0,17.687756,1.30568,0,0,0,276,0,359.061997,359.061997
0,20437.43,47057.88,447735.1,15,3,0.018,0.5,0.204333,0,0.3025,0.120252,18,1.803776506,0.613,-1.190776506
0,0,0,2257.95,1,1,0.381175,0.381175,0.381175,0.380555,0.380555,0.380555,2,0.380555036,0.381175036,0.00062
0,6.44,76.03,412.35,5,5,0.5,20,6.9,0.499214,19.999304,6.899288,10,34.49644079,34.5,0.003559205
0,15.95,0,63.8,4,1,101,101,101,0.001,47.33595,25.249475,5,100.9979,101,0.0021
0,0,0,96.47,1,1,1.116753,1.116753,1.116753,1.114553,1.114553,1.114553,2,1.11455294,1.11675294,0.0022
0,0,3396.11,244519.93,0,72,0,1.00414,0.839403,0,0,0,73,0,60.43698417,60.43698417
0,0.93,1748.94,111991.72,64,64,0.033484,0.223954,0.201675,0.032644,0.223114,0.200835,128,12.85341676,12.90717676,0.05376
0,0,2426.58,283910.03,0,117,0,1.249528,0.854269,0,0,0,118,0,99.94944496,99.94944496
0,0,191,310191.97,0,1624,0,0,0,0,0,0,1624,0,0,0
0,17.24,1420.14,293206.6,203,204,1.116909,29.007461,10.766147,1.113552,29.004104,10.815768,407,2195.600877,2196.294011,0.6931342
0,3294.21,5448.4,1007930.98,129,107,0,716,43.940834,0,1000,35.926786,236,4634.55541,4701.669219,67.11380848
0,18.7,365.31,408109.47,1058,1063,0.05027,4.25468,0.325509,0.04985,4.25426,0.326628,2121,345.5720759,346.0164569,0.444381
0,0,0,24.2,1,1,0.01,0.01,0.01,0.009418,0.009418,0.009418,2,0.009418468,0.01,0.000581532
0,0,0,3.73,1,1,0.180717,0.180717,0.180717,0.179795,0.179795,0.179795,2,0.179795396,0.18071719,0.000921794
0,9.49,11318.66,577697.67,47,51,0.010472,18.913706,0.829698,0.014595,18.912983,0.897617,98,42.18801585,42.31458197,0.126566116
0,0,0,74.32,1,1,2.2,2.2,2.2,2.199496,2.199496,2.199496,2,2.199496,2.2,0.000504
0,159.96,0.6,321.12,2,2,19.801367,81.198633,50.5,17.86,83.139016,50.499508,4,100.9990158,101,0.000984218
0,3.23,0,9.68,3,2,634.304664,1366.695336,1000.5,0.001028,1445.489175,666.999528,5,2000.998585,2001,0.001414909
0,134.97,8427.96,898837.57,103,105,0.112939,1.395217,1.024937,1.008043,1.77743,1.042574,208,107.385162,107.6184304,0.23326833
0,0,0,0,0,1,1.844472,1.844472,1.844472,0,0,0,1,0,1.84447207,1.84447207
0,28424.74,23213.4,663716.47,16,9,0.003464,3.638719,0.711047,0,3.206184,0.398909,25,6.38254529,6.39942711,0.01688182
0,329.02,1898.84,95469.27,42,43,0.099009,0.426663,0.106772,0.098589,0.426243,0.108894,85,4.57354835,4.59120935,0.017661
0,0,3309.56,52953.02,0,16,0,208.57,75.747587,0,0,0,17,0,1211.9614,1211.9614
